(slices[9999]) currentSum=504999983 | maxSum=0
(slices[9932]) currentSum=504999990 | maxSum=505000000
(slices[9931]) currentSum=504999986 | maxSum=505000000
(slices[9930]) currentSum=504999993 | maxSum=505000000
(slices[9929]) currentSum=504999976 | maxSum=505000000
(slices[9928]) currentSum=504999984 | maxSum=505000000
(slices[9927]) currentSum=504999995 | maxSum=505000000
(slices[9926]) currentSum=504999987 | maxSum=505000000
(slices[9925]) currentSum=504999989 | maxSum=505000000
(slices[9924]) currentSum=504999991 | maxSum=505000000
(slices[9923]) currentSum=504999991 | maxSum=505000000
(slices[9922]) currentSum=505000000 | maxSum=505000000
(slices[9921]) currentSum=504999995 | maxSum=505000000
(slices[9920]) currentSum=504999998 | maxSum=505000000
(slices[9919]) currentSum=504999978 | maxSum=505000000
(slices[9918]) currentSum=504999998 | maxSum=505000000
(slices[9917]) currentSum=504999999 | maxSum=505000000
(slices[9916]) currentSum=504999989 | maxSum=505000000
(slices[9915]) currentSum=504999986 | maxSum=505000000
(slices[9914]) currentSum=504999999 | maxSum=505000000
(slices[9913]) currentSum=504999961 | maxSum=505000000
(slices[9912]) currentSum=504999988 | maxSum=505000000
(slices[9911]) currentSum=505000000 | maxSum=505000000
(slices[9910]) currentSum=504999992 | maxSum=505000000
(slices[9909]) currentSum=504999974 | maxSum=505000000
(slices[9908]) currentSum=504999996 | maxSum=505000000
(slices[9907]) currentSum=504999997 | maxSum=505000000
(slices[9906]) currentSum=504999994 | maxSum=505000000
(slices[9905]) currentSum=504999996 | maxSum=505000000
(slices[9904]) currentSum=504999984 | maxSum=505000000
(slices[9903]) currentSum=504999998 | maxSum=505000000
(slices[9902]) currentSum=504999987 | maxSum=505000000
(slices[9901]) currentSum=504999972 | maxSum=505000000
(slices[9900]) currentSum=504999987 | maxSum=505000000
(slices[9899]) currentSum=504999989 | maxSum=505000000
(slices[9898]) currentSum=504999994 | maxSum=505000000
(slices[9897]) currentSum=504999974 | maxSum=505000000
(slices[9896]) currentSum=504999982 | maxSum=505000000
(slices[9895]) currentSum=504999967 | maxSum=505000000
(slices[9894]) currentSum=504999996 | maxSum=505000000
(slices[9893]) currentSum=505000000 | maxSum=505000000
(slices[9892]) currentSum=504999996 | maxSum=505000000
(slices[9891]) currentSum=504999956 | maxSum=505000000
(slices[9890]) currentSum=504999984 | maxSum=505000000
(slices[9889]) currentSum=504999997 | maxSum=505000000
(slices[9888]) currentSum=504999988 | maxSum=505000000
(slices[9887]) currentSum=504999990 | maxSum=505000000
(slices[9886]) currentSum=504999991 | maxSum=505000000
(slices[9885]) currentSum=504999988 | maxSum=505000000
(slices[9884]) currentSum=504999987 | maxSum=505000000
(slices[9883]) currentSum=504999995 | maxSum=505000000
(slices[9882]) currentSum=504999971 | maxSum=505000000
(slices[9881]) currentSum=504999973 | maxSum=505000000
(slices[9880]) currentSum=504999989 | maxSum=505000000
(slices[9879]) currentSum=504999998 | maxSum=505000000
(slices[9878]) currentSum=504999995 | maxSum=505000000
(slices[9877]) currentSum=504999996 | maxSum=505000000
(slices[9876]) currentSum=504999977 | maxSum=505000000
(slices[9875]) currentSum=504999981 | maxSum=505000000
(slices[9874]) currentSum=504999968 | maxSum=505000000
(slices[9873]) currentSum=504999987 | maxSum=505000000
(slices[9872]) currentSum=504999992 | maxSum=505000000
(slices[9871]) currentSum=504999988 | maxSum=505000000
(slices[9870]) currentSum=504999968 | maxSum=505000000
(slices[9869]) currentSum=504999954 | maxSum=505000000
(slices[9868]) currentSum=504999987 | maxSum=505000000
(slices[9867]) currentSum=504999957 | maxSum=505000000
(slices[9866]) currentSum=504999993 | maxSum=505000000
(slices[9865]) currentSum=504999990 | maxSum=505000000
(slices[9864]) currentSum=504999937 | maxSum=505000000
(slices[9863]) currentSum=504999988 | maxSum=505000000
(slices[9862]) currentSum=505000000 | maxSum=505000000
(slices[9861]) currentSum=504999997 | maxSum=505000000
(slices[9860]) currentSum=504999995 | maxSum=505000000
(slices[9859]) currentSum=504999979 | maxSum=505000000
(slices[9858]) currentSum=504999998 | maxSum=505000000
(slices[9857]) currentSum=504999985 | maxSum=505000000
(slices[9856]) currentSum=505000000 | maxSum=505000000
(slices[9855]) currentSum=504999996 | maxSum=505000000
(slices[9854]) currentSum=504999988 | maxSum=505000000
(slices[9853]) currentSum=504999995 | maxSum=505000000
(slices[9852]) currentSum=504999995 | maxSum=505000000
(slices[9851]) currentSum=504999984 | maxSum=505000000
(slices[9850]) currentSum=504999901 | maxSum=505000000
(slices[9849]) currentSum=504999999 | maxSum=505000000
(slices[9848]) currentSum=504999996 | maxSum=505000000
(slices[9847]) currentSum=504999990 | maxSum=505000000
(slices[9846]) currentSum=504999998 | maxSum=505000000
(slices[9845]) currentSum=504999996 | maxSum=505000000
(slices[9844]) currentSum=504999983 | maxSum=505000000
(slices[9843]) currentSum=505000000 | maxSum=505000000
(slices[9842]) currentSum=504999998 | maxSum=505000000
(slices[9841]) currentSum=504999971 | maxSum=505000000
(slices[9840]) currentSum=504999980 | maxSum=505000000
(slices[9839]) currentSum=504999996 | maxSum=505000000
(slices[9838]) currentSum=504999981 | maxSum=505000000
(slices[9837]) currentSum=504999986 | maxSum=505000000
(slices[9836]) currentSum=504999955 | maxSum=505000000
(slices[9835]) currentSum=504999980 | maxSum=505000000
(slices[9834]) currentSum=504999993 | maxSum=505000000
(slices[9833]) currentSum=504999998 | maxSum=505000000
(slices[9832]) currentSum=504999988 | maxSum=505000000
(slices[9831]) currentSum=504999998 | maxSum=505000000
(slices[9830]) currentSum=504999999 | maxSum=505000000
(slices[9829]) currentSum=504999996 | maxSum=505000000
(slices[9828]) currentSum=504999967 | maxSum=505000000
(slices[9827]) currentSum=504999993 | maxSum=505000000
(slices[9826]) currentSum=504999989 | maxSum=505000000
(slices[9825]) currentSum=504999960 | maxSum=505000000
(slices[9824]) currentSum=504999983 | maxSum=505000000
(slices[9823]) currentSum=504999998 | maxSum=505000000
(slices[9822]) currentSum=504999994 | maxSum=505000000
(slices[9821]) currentSum=504999989 | maxSum=505000000
(slices[9820]) currentSum=504999985 | maxSum=505000000
(slices[9819]) currentSum=504999999 | maxSum=505000000
(slices[9818]) currentSum=504999973 | maxSum=505000000
(slices[9817]) currentSum=504999987 | maxSum=505000000
(slices[9816]) currentSum=504999999 | maxSum=505000000
(slices[9815]) currentSum=504999995 | maxSum=505000000
(slices[9814]) currentSum=504999976 | maxSum=505000000
(slices[9813]) currentSum=504999986 | maxSum=505000000
(slices[9812]) currentSum=504999998 | maxSum=505000000
(slices[9811]) currentSum=504999982 | maxSum=505000000
(slices[9810]) currentSum=504999987 | maxSum=505000000
(slices[9809]) currentSum=504999978 | maxSum=505000000
(slices[9808]) currentSum=504999956 | maxSum=505000000
(slices[9807]) currentSum=504999984 | maxSum=505000000
(slices[9806]) currentSum=504999949 | maxSum=505000000
(slices[9805]) currentSum=504999949 | maxSum=505000000
(slices[9804]) currentSum=504999996 | maxSum=505000000
(slices[9803]) currentSum=504999980 | maxSum=505000000
(slices[9802]) currentSum=504999990 | maxSum=505000000
(slices[9801]) currentSum=505000000 | maxSum=505000000
(slices[9800]) currentSum=504999982 | maxSum=505000000
(slices[9799]) currentSum=504999994 | maxSum=505000000
(slices[9798]) currentSum=504999991 | maxSum=505000000
(slices[9797]) currentSum=504999976 | maxSum=505000000
(slices[9796]) currentSum=504999958 | maxSum=505000000
(slices[9795]) currentSum=504999947 | maxSum=505000000
(slices[9794]) currentSum=504999987 | maxSum=505000000
(slices[9793]) currentSum=504999985 | maxSum=505000000
(slices[9792]) currentSum=504999998 | maxSum=505000000
(slices[9791]) currentSum=504999989 | maxSum=505000000
(slices[9790]) currentSum=504999992 | maxSum=505000000
(slices[9789]) currentSum=504999993 | maxSum=505000000
(slices[9788]) currentSum=504999993 | maxSum=505000000
(slices[9787]) currentSum=504999994 | maxSum=505000000
(slices[9786]) currentSum=504999980 | maxSum=505000000
(slices[9785]) currentSum=504999966 | maxSum=505000000
(slices[9784]) currentSum=504999923 | maxSum=505000000
(slices[9783]) currentSum=504999982 | maxSum=505000000
(slices[9782]) currentSum=504999989 | maxSum=505000000
(slices[9781]) currentSum=505000000 | maxSum=505000000
(slices[9780]) currentSum=504999991 | maxSum=505000000
(slices[9779]) currentSum=504999990 | maxSum=505000000
(slices[9778]) currentSum=504999990 | maxSum=505000000
(slices[9777]) currentSum=504999991 | maxSum=505000000
(slices[9776]) currentSum=504999984 | maxSum=505000000
(slices[9775]) currentSum=504999982 | maxSum=505000000
(slices[9774]) currentSum=504999999 | maxSum=505000000
(slices[9773]) currentSum=504999992 | maxSum=505000000
(slices[9772]) currentSum=504999993 | maxSum=505000000
(slices[9771]) currentSum=504999998 | maxSum=505000000
(slices[9770]) currentSum=504999999 | maxSum=505000000
(slices[9769]) currentSum=504999956 | maxSum=505000000
(slices[9768]) currentSum=504999995 | maxSum=505000000
(slices[9767]) currentSum=504999996 | maxSum=505000000
(slices[9766]) currentSum=504999993 | maxSum=505000000
(slices[9765]) currentSum=504999996 | maxSum=505000000
(slices[9764]) currentSum=504999955 | maxSum=505000000
(slices[9763]) currentSum=504999973 | maxSum=505000000
(slices[9762]) currentSum=504999980 | maxSum=505000000
(slices[9761]) currentSum=504999973 | maxSum=505000000
(slices[9760]) currentSum=504999997 | maxSum=505000000
(slices[9759]) currentSum=504999990 | maxSum=505000000
(slices[9758]) currentSum=504999934 | maxSum=505000000
(slices[9757]) currentSum=504999940 | maxSum=505000000
(slices[9756]) currentSum=504999964 | maxSum=505000000
(slices[9755]) currentSum=504999971 | maxSum=505000000
(slices[9754]) currentSum=504999998 | maxSum=505000000
(slices[9753]) currentSum=504999930 | maxSum=505000000
(slices[9752]) currentSum=504999998 | maxSum=505000000
(slices[9751]) currentSum=504999936 | maxSum=505000000
(slices[9750]) currentSum=505000000 | maxSum=505000000
(slices[9749]) currentSum=504999993 | maxSum=505000000
(slices[9748]) currentSum=504999936 | maxSum=505000000
(slices[9747]) currentSum=504999998 | maxSum=505000000
(slices[9746]) currentSum=504999989 | maxSum=505000000
(slices[9745]) currentSum=504999998 | maxSum=505000000
(slices[9744]) currentSum=504999991 | maxSum=505000000
(slices[9743]) currentSum=504999997 | maxSum=505000000
(slices[9742]) currentSum=504999968 | maxSum=505000000
(slices[9741]) currentSum=504999987 | maxSum=505000000
(slices[9740]) currentSum=504999986 | maxSum=505000000
(slices[9739]) currentSum=504999984 | maxSum=505000000
(slices[9738]) currentSum=504999985 | maxSum=505000000
(slices[9737]) currentSum=504999967 | maxSum=505000000
(slices[9736]) currentSum=504999973 | maxSum=505000000
(slices[9735]) currentSum=505000000 | maxSum=505000000
(slices[9734]) currentSum=504999981 | maxSum=505000000
(slices[9733]) currentSum=504999984 | maxSum=505000000
(slices[9732]) currentSum=504999970 | maxSum=505000000
(slices[9731]) currentSum=504999972 | maxSum=505000000
(slices[9730]) currentSum=504999985 | maxSum=505000000
(slices[9729]) currentSum=504999991 | maxSum=505000000
(slices[9728]) currentSum=504999983 | maxSum=505000000
(slices[9727]) currentSum=504999957 | maxSum=505000000
(slices[9726]) currentSum=505000000 | maxSum=505000000
(slices[9725]) currentSum=504999993 | maxSum=505000000
(slices[9724]) currentSum=504999994 | maxSum=505000000
(slices[9723]) currentSum=504999996 | maxSum=505000000
(slices[9722]) currentSum=504999997 | maxSum=505000000
(slices[9721]) currentSum=504999997 | maxSum=505000000
(slices[9720]) currentSum=504999945 | maxSum=505000000
(slices[9719]) currentSum=504999995 | maxSum=505000000
(slices[9718]) currentSum=504999996 | maxSum=505000000
(slices[9717]) currentSum=504999995 | maxSum=505000000
(slices[9716]) currentSum=504999996 | maxSum=505000000
(slices[9715]) currentSum=504999998 | maxSum=505000000
(slices[9714]) currentSum=504999997 | maxSum=505000000
(slices[9713]) currentSum=504999987 | maxSum=505000000
(slices[9712]) currentSum=504999996 | maxSum=505000000
(slices[9711]) currentSum=504999997 | maxSum=505000000
(slices[9710]) currentSum=504999990 | maxSum=505000000
(slices[9709]) currentSum=504999993 | maxSum=505000000
(slices[9708]) currentSum=504999994 | maxSum=505000000
(slices[9707]) currentSum=504999988 | maxSum=505000000
(slices[9706]) currentSum=504999993 | maxSum=505000000
(slices[9705]) currentSum=504999974 | maxSum=505000000
(slices[9704]) currentSum=504999990 | maxSum=505000000
(slices[9703]) currentSum=504999988 | maxSum=505000000
(slices[9702]) currentSum=504999980 | maxSum=505000000
(slices[9701]) currentSum=504999984 | maxSum=505000000
(slices[9700]) currentSum=504999990 | maxSum=505000000
(slices[9699]) currentSum=504999987 | maxSum=505000000
(slices[9698]) currentSum=504999966 | maxSum=505000000
(slices[9697]) currentSum=504999997 | maxSum=505000000
(slices[9696]) currentSum=504999973 | maxSum=505000000
(slices[9695]) currentSum=504999988 | maxSum=505000000
(slices[9694]) currentSum=504999992 | maxSum=505000000
(slices[9693]) currentSum=504999971 | maxSum=505000000
(slices[9692]) currentSum=504999983 | maxSum=505000000
(slices[9691]) currentSum=504999991 | maxSum=505000000
(slices[9690]) currentSum=504999975 | maxSum=505000000
(slices[9689]) currentSum=504999993 | maxSum=505000000
(slices[9688]) currentSum=504999999 | maxSum=505000000
(slices[9687]) currentSum=504999994 | maxSum=505000000
(slices[9686]) currentSum=504999962 | maxSum=505000000
(slices[9685]) currentSum=504999994 | maxSum=505000000
(slices[9684]) currentSum=504999987 | maxSum=505000000
(slices[9683]) currentSum=504999993 | maxSum=505000000
(slices[9682]) currentSum=504999999 | maxSum=505000000
(slices[9681]) currentSum=504999958 | maxSum=505000000
(slices[9680]) currentSum=504999983 | maxSum=505000000
(slices[9679]) currentSum=504999994 | maxSum=505000000
(slices[9678]) currentSum=504999940 | maxSum=505000000
(slices[9677]) currentSum=504999978 | maxSum=505000000
(slices[9676]) currentSum=504999996 | maxSum=505000000
(slices[9675]) currentSum=505000000 | maxSum=505000000
(slices[9674]) currentSum=504999999 | maxSum=505000000
(slices[9673]) currentSum=504999996 | maxSum=505000000
(slices[9672]) currentSum=504999995 | maxSum=505000000
(slices[9671]) currentSum=504999979 | maxSum=505000000
(slices[9670]) currentSum=504999999 | maxSum=505000000
(slices[9669]) currentSum=504999993 | maxSum=505000000
(slices[9668]) currentSum=504999986 | maxSum=505000000
(slices[9667]) currentSum=504999985 | maxSum=505000000
(slices[9666]) currentSum=504999999 | maxSum=505000000
(slices[9665]) currentSum=504999996 | maxSum=505000000
(slices[9664]) currentSum=504999973 | maxSum=505000000
(slices[9663]) currentSum=504999976 | maxSum=505000000
(slices[9662]) currentSum=504999992 | maxSum=505000000
(slices[9661]) currentSum=504999987 | maxSum=505000000
(slices[9660]) currentSum=504999992 | maxSum=505000000
(slices[9659]) currentSum=504999987 | maxSum=505000000
(slices[9658]) currentSum=504999987 | maxSum=505000000
(slices[9657]) currentSum=504999978 | maxSum=505000000
(slices[9656]) currentSum=504999997 | maxSum=505000000
(slices[9655]) currentSum=504999995 | maxSum=505000000
(slices[9654]) currentSum=504999998 | maxSum=505000000
(slices[9653]) currentSum=505000000 | maxSum=505000000
(slices[9652]) currentSum=504999989 | maxSum=505000000
(slices[9651]) currentSum=504999989 | maxSum=505000000
(slices[9650]) currentSum=504999887 | maxSum=505000000
(slices[9649]) currentSum=504999999 | maxSum=505000000
(slices[9648]) currentSum=504999979 | maxSum=505000000
(slices[9647]) currentSum=504999988 | maxSum=505000000
(slices[9646]) currentSum=504999941 | maxSum=505000000
(slices[9645]) currentSum=504999968 | maxSum=505000000
(slices[9644]) currentSum=504999987 | maxSum=505000000
(slices[9643]) currentSum=504999961 | maxSum=505000000
(slices[9642]) currentSum=504999998 | maxSum=505000000
(slices[9641]) currentSum=504999997 | maxSum=505000000
(slices[9640]) currentSum=504999956 | maxSum=505000000
(slices[9639]) currentSum=504999986 | maxSum=505000000
(slices[9638]) currentSum=504999998 | maxSum=505000000
(slices[9637]) currentSum=504999958 | maxSum=505000000
(slices[9636]) currentSum=504999999 | maxSum=505000000
(slices[9635]) currentSum=504999980 | maxSum=505000000
(slices[9634]) currentSum=504999992 | maxSum=505000000
(slices[9633]) currentSum=504999987 | maxSum=505000000
(slices[9632]) currentSum=504999985 | maxSum=505000000
(slices[9631]) currentSum=504999969 | maxSum=505000000
(slices[9630]) currentSum=504999974 | maxSum=505000000
(slices[9629]) currentSum=504999995 | maxSum=505000000
(slices[9628]) currentSum=504999988 | maxSum=505000000
(slices[9627]) currentSum=504999992 | maxSum=505000000
(slices[9626]) currentSum=504999997 | maxSum=505000000
(slices[9625]) currentSum=504999999 | maxSum=505000000
(slices[9624]) currentSum=504999988 | maxSum=505000000
(slices[9623]) currentSum=504999965 | maxSum=505000000
(slices[9622]) currentSum=504999985 | maxSum=505000000
(slices[9621]) currentSum=504999932 | maxSum=505000000
(slices[9620]) currentSum=504999974 | maxSum=505000000
(slices[9619]) currentSum=504999965 | maxSum=505000000
(slices[9618]) currentSum=504999987 | maxSum=505000000
(slices[9617]) currentSum=504999998 | maxSum=505000000
(slices[9616]) currentSum=504999977 | maxSum=505000000
(slices[9615]) currentSum=504999993 | maxSum=505000000
(slices[9614]) currentSum=504999964 | maxSum=505000000
(slices[9613]) currentSum=504999987 | maxSum=505000000
(slices[9612]) currentSum=504999974 | maxSum=505000000
(slices[9611]) currentSum=504999997 | maxSum=505000000
(slices[9610]) currentSum=504999999 | maxSum=505000000
(slices[9609]) currentSum=504999994 | maxSum=505000000
(slices[9608]) currentSum=504999994 | maxSum=505000000
(slices[9607]) currentSum=505000000 | maxSum=505000000
(slices[9606]) currentSum=504999995 | maxSum=505000000
(slices[9605]) currentSum=504999952 | maxSum=505000000
(slices[9604]) currentSum=504999959 | maxSum=505000000
(slices[9603]) currentSum=504999997 | maxSum=505000000
(slices[9602]) currentSum=504999992 | maxSum=505000000
(slices[9601]) currentSum=504999952 | maxSum=505000000
(slices[9600]) currentSum=504999996 | maxSum=505000000
(slices[9599]) currentSum=505000000 | maxSum=505000000
(slices[9598]) currentSum=505000000 | maxSum=505000000
(slices[9597]) currentSum=505000000 | maxSum=505000000
(slices[9596]) currentSum=504999965 | maxSum=505000000
(slices[9595]) currentSum=504999997 | maxSum=505000000
(slices[9594]) currentSum=504999994 | maxSum=505000000
(slices[9593]) currentSum=504999995 | maxSum=505000000
(slices[9592]) currentSum=504999996 | maxSum=505000000
(slices[9591]) currentSum=504999958 | maxSum=505000000
(slices[9590]) currentSum=504999999 | maxSum=505000000
(slices[9589]) currentSum=505000000 | maxSum=505000000
(slices[9588]) currentSum=504999997 | maxSum=505000000
(slices[9587]) currentSum=504999981 | maxSum=505000000
(slices[9586]) currentSum=504999999 | maxSum=505000000
(slices[9585]) currentSum=504999980 | maxSum=505000000
(slices[9584]) currentSum=504999993 | maxSum=505000000
(slices[9583]) currentSum=504999987 | maxSum=505000000
(slices[9582]) currentSum=504999995 | maxSum=505000000
(slices[9581]) currentSum=504999987 | maxSum=505000000
(slices[9580]) currentSum=504999981 | maxSum=505000000
(slices[9579]) currentSum=504999991 | maxSum=505000000
(slices[9578]) currentSum=504999977 | maxSum=505000000
(slices[9577]) currentSum=504999997 | maxSum=505000000
(slices[9576]) currentSum=504999991 | maxSum=505000000
(slices[9575]) currentSum=504999942 | maxSum=505000000
(slices[9574]) currentSum=504999964 | maxSum=505000000
(slices[9573]) currentSum=504999998 | maxSum=505000000
(slices[9572]) currentSum=504999998 | maxSum=505000000
(slices[9571]) currentSum=504999993 | maxSum=505000000
(slices[9570]) currentSum=504999998 | maxSum=505000000
(slices[9569]) currentSum=504999978 | maxSum=505000000
(slices[9568]) currentSum=504999937 | maxSum=505000000
(slices[9567]) currentSum=504999986 | maxSum=505000000
(slices[9566]) currentSum=504999997 | maxSum=505000000
(slices[9565]) currentSum=504999980 | maxSum=505000000
(slices[9564]) currentSum=504999916 | maxSum=505000000
(slices[9563]) currentSum=504999999 | maxSum=505000000
(slices[9562]) currentSum=504999991 | maxSum=505000000
(slices[9561]) currentSum=504999990 | maxSum=505000000
(slices[9560]) currentSum=504999994 | maxSum=505000000
(slices[9559]) currentSum=504999964 | maxSum=505000000
(slices[9558]) currentSum=504999987 | maxSum=505000000
(slices[9557]) currentSum=504999964 | maxSum=505000000
(slices[9556]) currentSum=504999971 | maxSum=505000000
(slices[9555]) currentSum=504999983 | maxSum=505000000
(slices[9554]) currentSum=504999995 | maxSum=505000000
(slices[9553]) currentSum=504999986 | maxSum=505000000
(slices[9552]) currentSum=504999979 | maxSum=505000000
(slices[9551]) currentSum=504999992 | maxSum=505000000
(slices[9550]) currentSum=504999994 | maxSum=505000000
(slices[9549]) currentSum=504999986 | maxSum=505000000
(slices[9548]) currentSum=504999958 | maxSum=505000000
(slices[9547]) currentSum=504999999 | maxSum=505000000
(slices[9546]) currentSum=504999998 | maxSum=505000000
(slices[9545]) currentSum=504999998 | maxSum=505000000
(slices[9544]) currentSum=504999982 | maxSum=505000000
(slices[9543]) currentSum=504999999 | maxSum=505000000
(slices[9542]) currentSum=504999994 | maxSum=505000000
(slices[9541]) currentSum=504999982 | maxSum=505000000
(slices[9540]) currentSum=504999990 | maxSum=505000000
(slices[9539]) currentSum=504999986 | maxSum=505000000
(slices[9538]) currentSum=505000000 | maxSum=505000000
(slices[9537]) currentSum=504999992 | maxSum=505000000
(slices[9536]) currentSum=505000000 | maxSum=505000000
(slices[9535]) currentSum=504999989 | maxSum=505000000
(slices[9534]) currentSum=505000000 | maxSum=505000000
(slices[9533]) currentSum=504999992 | maxSum=505000000
(slices[9532]) currentSum=504999998 | maxSum=505000000
(slices[9531]) currentSum=504999991 | maxSum=505000000
(slices[9530]) currentSum=504999995 | maxSum=505000000
(slices[9529]) currentSum=504999997 | maxSum=505000000
(slices[9528]) currentSum=504999969 | maxSum=505000000
(slices[9527]) currentSum=504999944 | maxSum=505000000
(slices[9526]) currentSum=504999992 | maxSum=505000000
(slices[9525]) currentSum=504999998 | maxSum=505000000
(slices[9524]) currentSum=504999967 | maxSum=505000000
(slices[9523]) currentSum=504999985 | maxSum=505000000
(slices[9522]) currentSum=504999969 | maxSum=505000000
(slices[9521]) currentSum=504999968 | maxSum=505000000
(slices[9520]) currentSum=504999981 | maxSum=505000000
(slices[9519]) currentSum=505000000 | maxSum=505000000
(slices[9518]) currentSum=504999997 | maxSum=505000000
(slices[9517]) currentSum=504999982 | maxSum=505000000
(slices[9516]) currentSum=504999998 | maxSum=505000000
(slices[9515]) currentSum=504999966 | maxSum=505000000
(slices[9514]) currentSum=504999994 | maxSum=505000000
(slices[9513]) currentSum=504999973 | maxSum=505000000
(slices[9512]) currentSum=504999973 | maxSum=505000000
(slices[9511]) currentSum=504999961 | maxSum=505000000
(slices[9510]) currentSum=504999994 | maxSum=505000000
(slices[9509]) currentSum=504999996 | maxSum=505000000
(slices[9508]) currentSum=504999999 | maxSum=505000000
(slices[9507]) currentSum=504999949 | maxSum=505000000
(slices[9506]) currentSum=504999991 | maxSum=505000000
(slices[9505]) currentSum=504999986 | maxSum=505000000
(slices[9504]) currentSum=504999967 | maxSum=505000000
(slices[9503]) currentSum=504999972 | maxSum=505000000
(slices[9502]) currentSum=504999981 | maxSum=505000000
(slices[9501]) currentSum=504999967 | maxSum=505000000
(slices[9500]) currentSum=504999986 | maxSum=505000000
(slices[9499]) currentSum=504999983 | maxSum=505000000
(slices[9498]) currentSum=504999987 | maxSum=505000000
(slices[9497]) currentSum=504999987 | maxSum=505000000
(slices[9496]) currentSum=504999982 | maxSum=505000000
(slices[9495]) currentSum=504999996 | maxSum=505000000
(slices[9494]) currentSum=504999965 | maxSum=505000000
(slices[9493]) currentSum=504999981 | maxSum=505000000
(slices[9492]) currentSum=504999982 | maxSum=505000000
(slices[9491]) currentSum=504999990 | maxSum=505000000
(slices[9490]) currentSum=504999948 | maxSum=505000000
(slices[9489]) currentSum=504999973 | maxSum=505000000
(slices[9488]) currentSum=504999993 | maxSum=505000000
(slices[9487]) currentSum=504999984 | maxSum=505000000
(slices[9486]) currentSum=504999949 | maxSum=505000000
(slices[9485]) currentSum=504999978 | maxSum=505000000
(slices[9484]) currentSum=504999987 | maxSum=505000000
(slices[9483]) currentSum=504999991 | maxSum=505000000
