cSum=999999725 | maxSum=0
cSum=896838407 | maxSum=999999932
cSum=895894081 | maxSum=999999932
cSum=894950263 | maxSum=999999932
cSum=894006899 | maxSum=999999932
cSum=893063649 | maxSum=999999932
cSum=892120948 | maxSum=999999932
cSum=891178307 | maxSum=999999932
cSum=890235683 | maxSum=999999932
cSum=889294197 | maxSum=999999932
cSum=888352723 | maxSum=999999932
cSum=887411882 | maxSum=999999932
cSum=886475425 | maxSum=999999932
cSum=885539353 | maxSum=999999932
cSum=884603784 | maxSum=999999932
cSum=883668382 | maxSum=999999932
cSum=882733378 | maxSum=999999932
cSum=881798443 | maxSum=999999932
cSum=880863665 | maxSum=999999932
cSum=879930081 | maxSum=999999932
cSum=878997099 | maxSum=999999932
cSum=878064421 | maxSum=999999932
cSum=877133824 | maxSum=999999932
cSum=876203415 | maxSum=999999932
cSum=875274183 | maxSum=999999932
cSum=874345655 | maxSum=999999932
cSum=873417141 | maxSum=999999932
cSum=872488667 | maxSum=999999932
cSum=871560849 | maxSum=999999932
cSum=870633141 | maxSum=999999932
cSum=869705903 | maxSum=999999932
cSum=868778770 | maxSum=999999932
cSum=867852715 | maxSum=999999932
cSum=866927419 | maxSum=999999932
cSum=866002911 | maxSum=999999932
cSum=865078629 | maxSum=999999932
cSum=864154925 | maxSum=999999932
cSum=863231240 | maxSum=999999932
cSum=862307754 | maxSum=999999932
cSum=861384621 | maxSum=999999932
cSum=860461711 | maxSum=999999932
cSum=859539291 | maxSum=999999932
cSum=858617200 | maxSum=999999932
cSum=857695168 | maxSum=999999932
cSum=856773711 | maxSum=999999932
cSum=855852878 | maxSum=999999932
cSum=854932168 | maxSum=999999932
cSum=854012476 | maxSum=999999932
cSum=853093390 | maxSum=999999932
cSum=852174401 | maxSum=999999932
cSum=851255952 | maxSum=999999932
cSum=850338699 | maxSum=999999932
cSum=849421684 | maxSum=999999932
cSum=848504978 | maxSum=999999932
cSum=847589815 | maxSum=999999932
cSum=846674799 | maxSum=999999932
cSum=845759936 | maxSum=999999932
cSum=844845126 | maxSum=999999932
cSum=843930542 | maxSum=999999932
cSum=843016843 | maxSum=999999932
cSum=842103553 | maxSum=999999932
cSum=841190361 | maxSum=999999932
cSum=840277506 | maxSum=999999932
cSum=839364778 | maxSum=999999932
cSum=838452781 | maxSum=999999932
cSum=837540789 | maxSum=999999932
cSum=836628895 | maxSum=999999932
cSum=835717247 | maxSum=999999932
cSum=834805669 | maxSum=999999932
cSum=833894971 | maxSum=999999932
cSum=832985961 | maxSum=999999932
cSum=832077337 | maxSum=999999932
cSum=831168750 | maxSum=999999932
cSum=830261408 | maxSum=999999932
cSum=829354269 | maxSum=999999932
cSum=828447294 | maxSum=999999932
cSum=827540592 | maxSum=999999932
cSum=826633937 | maxSum=999999932
cSum=825727547 | maxSum=999999932
cSum=824821460 | maxSum=999999932
cSum=823915412 | maxSum=999999932
cSum=823009563 | maxSum=999999932
cSum=822105830 | maxSum=999999932
cSum=821202197 | maxSum=999999932
cSum=820298581 | maxSum=999999932
cSum=819395001 | maxSum=999999932
cSum=818491608 | maxSum=999999932
cSum=817588368 | maxSum=999999932
cSum=816685386 | maxSum=999999932
cSum=815782743 | maxSum=999999932
cSum=814880180 | maxSum=999999932
cSum=813977812 | maxSum=999999932
cSum=813075524 | maxSum=999999932
cSum=812173523 | maxSum=999999932
cSum=811271550 | maxSum=999999932
cSum=810370106 | maxSum=999999932
cSum=809468693 | maxSum=999999932
cSum=808567557 | maxSum=999999932
cSum=807667206 | maxSum=999999932
cSum=806767051 | maxSum=999999932
cSum=805867602 | maxSum=999999932
cSum=804969203 | maxSum=999999932
cSum=804071558 | maxSum=999999932
cSum=803173961 | maxSum=999999932
cSum=802276906 | maxSum=999999932
cSum=801379990 | maxSum=999999932
cSum=800484023 | maxSum=999999932
cSum=799589067 | maxSum=999999932
cSum=798694229 | maxSum=999999932
cSum=797799835 | maxSum=999999932
cSum=796905643 | maxSum=999999932
cSum=796011848 | maxSum=999999932
cSum=795118657 | maxSum=999999932
cSum=794225521 | maxSum=999999932
cSum=793332773 | maxSum=999999932
cSum=792440434 | maxSum=999999932
cSum=791548786 | maxSum=999999932
cSum=790657721 | maxSum=999999932
cSum=789766826 | maxSum=999999932
cSum=788876854 | maxSum=999999932
cSum=787987258 | maxSum=999999932
cSum=787097980 | maxSum=999999932
cSum=786208721 | maxSum=999999932
cSum=785320008 | maxSum=999999932
cSum=784432753 | maxSum=999999932
cSum=783545875 | maxSum=999999932
cSum=782659459 | maxSum=999999932
cSum=781773320 | maxSum=999999932
cSum=780888627 | maxSum=999999932
cSum=780004782 | maxSum=999999932
cSum=779122177 | maxSum=999999932
cSum=778239849 | maxSum=999999932
cSum=777358464 | maxSum=999999932
cSum=776477753 | maxSum=999999932
cSum=775597707 | maxSum=999999932
cSum=774718596 | maxSum=999999932
cSum=773840388 | maxSum=999999932
cSum=772963699 | maxSum=999999932
cSum=772087082 | maxSum=999999932
cSum=771210706 | maxSum=999999932
cSum=770335188 | maxSum=999999932
cSum=769459866 | maxSum=999999932
cSum=768584679 | maxSum=999999932
cSum=767710000 | maxSum=999999932
cSum=766835705 | maxSum=999999932
cSum=765961430 | maxSum=999999932
cSum=765087189 | maxSum=999999932
cSum=764213789 | maxSum=999999932
cSum=763340444 | maxSum=999999932
cSum=762467319 | maxSum=999999932
cSum=761594703 | maxSum=999999932
cSum=760722317 | maxSum=999999932
cSum=759850202 | maxSum=999999932
cSum=758979067 | maxSum=999999932
cSum=758108099 | maxSum=999999932
cSum=757237134 | maxSum=999999932
cSum=756366270 | maxSum=999999932
cSum=755495862 | maxSum=999999932
cSum=754625684 | maxSum=999999932
cSum=753755940 | maxSum=999999932
cSum=752886255 | maxSum=999999932
cSum=752017242 | maxSum=999999932
cSum=751150406 | maxSum=999999932
cSum=750284510 | maxSum=999999932
cSum=749419461 | maxSum=999999932
cSum=748554661 | maxSum=999999932
cSum=747690332 | maxSum=999999932
cSum=746826055 | maxSum=999999932
cSum=745962130 | maxSum=999999932
cSum=745099712 | maxSum=999999932
cSum=744237385 | maxSum=999999932
cSum=743375284 | maxSum=999999932
cSum=742513511 | maxSum=999999932
cSum=741652138 | maxSum=999999932
cSum=740791471 | maxSum=999999932
cSum=739931012 | maxSum=999999932
cSum=739070567 | maxSum=999999932
cSum=738211417 | maxSum=999999932
cSum=737353187 | maxSum=999999932
cSum=736496341 | maxSum=999999932
cSum=735640037 | maxSum=999999932
cSum=734784324 | maxSum=999999932
cSum=733929677 | maxSum=999999932
cSum=733075829 | maxSum=999999932
cSum=732222693 | maxSum=999999932
cSum=731370095 | maxSum=999999932
cSum=730519221 | maxSum=999999932
cSum=729668626 | maxSum=999999932
cSum=728818420 | maxSum=999999932
cSum=727968237 | maxSum=999999932
cSum=727119437 | maxSum=999999932
cSum=726271928 | maxSum=999999932
cSum=725424605 | maxSum=999999932
cSum=724577833 | maxSum=999999932
cSum=723731447 | maxSum=999999932
cSum=722885091 | maxSum=999999932
cSum=722039076 | maxSum=999999932
cSum=721193283 | maxSum=999999932
cSum=720347545 | maxSum=999999932
cSum=719501830 | maxSum=999999932
cSum=718656817 | maxSum=999999932
cSum=717812109 | maxSum=999999932
cSum=716967907 | maxSum=999999932
cSum=716124138 | maxSum=999999932
cSum=715280416 | maxSum=999999932
cSum=714437067 | maxSum=999999932
cSum=713593846 | maxSum=999999932
cSum=712750839 | maxSum=999999932
cSum=711909584 | maxSum=999999932
cSum=711068647 | maxSum=999999932
cSum=710228250 | maxSum=999999932
cSum=709388717 | maxSum=999999932
cSum=708549924 | maxSum=999999932
cSum=707711151 | maxSum=999999932
cSum=706872959 | maxSum=999999932
cSum=706035243 | maxSum=999999932
cSum=705197890 | maxSum=999999932
cSum=704360927 | maxSum=999999932
cSum=703524289 | maxSum=999999932
cSum=702689334 | maxSum=999999932
cSum=701854467 | maxSum=999999932
cSum=701019622 | maxSum=999999932
cSum=700184879 | maxSum=999999932
cSum=699350848 | maxSum=999999932
cSum=698518506 | maxSum=999999932
cSum=697687005 | maxSum=999999932
cSum=696855823 | maxSum=999999932
cSum=696024756 | maxSum=999999932
cSum=695193821 | maxSum=999999932
cSum=694363215 | maxSum=999999932
cSum=693533481 | maxSum=999999932
cSum=692704279 | maxSum=999999932
cSum=691875138 | maxSum=999999932
cSum=691046706 | maxSum=999999932
cSum=690218297 | maxSum=999999932
cSum=689391294 | maxSum=999999932
cSum=688564325 | maxSum=999999932
cSum=687737544 | maxSum=999999932
cSum=686911396 | maxSum=999999932
cSum=686085364 | maxSum=999999932
cSum=685259691 | maxSum=999999932
cSum=684434434 | maxSum=999999932
cSum=683609370 | maxSum=999999932
cSum=682784601 | maxSum=999999932
cSum=681959921 | maxSum=999999932
cSum=681135943 | maxSum=999999932
cSum=680312625 | maxSum=999999932
cSum=679489841 | maxSum=999999932
cSum=678667633 | maxSum=999999932
cSum=677846168 | maxSum=999999932
cSum=677025465 | maxSum=999999932
cSum=676205023 | maxSum=999999932
cSum=675385484 | maxSum=999999932
cSum=674566251 | maxSum=999999932
cSum=673748189 | maxSum=999999932
cSum=672931689 | maxSum=999999932
cSum=672115406 | maxSum=999999932
cSum=671299237 | maxSum=999999932
cSum=670483377 | maxSum=999999932
cSum=669667753 | maxSum=999999932
cSum=668852251 | maxSum=999999932
cSum=668038506 | maxSum=999999932
cSum=667225032 | maxSum=999999932
cSum=666411608 | maxSum=999999932
cSum=665598340 | maxSum=999999932
cSum=664786019 | maxSum=999999932
cSum=663973984 | maxSum=999999932
cSum=663163042 | maxSum=999999932
cSum=662352371 | maxSum=999999932
cSum=661542112 | maxSum=999999932
cSum=660731986 | maxSum=999999932
cSum=659921931 | maxSum=999999932
cSum=659113303 | maxSum=999999932
cSum=658305801 | maxSum=999999932
cSum=657498561 | maxSum=999999932
cSum=656692576 | maxSum=999999932
cSum=655886706 | maxSum=999999932
cSum=655081020 | maxSum=999999932
cSum=654276218 | maxSum=999999932
cSum=653472017 | maxSum=999999932
cSum=652668931 | maxSum=999999932
cSum=651865867 | maxSum=999999932
cSum=651063032 | maxSum=999999932
cSum=650260656 | maxSum=999999932
cSum=649458696 | maxSum=999999932
cSum=648657068 | maxSum=999999932
cSum=647856436 | maxSum=999999932
cSum=647056208 | maxSum=999999932
cSum=646256228 | maxSum=999999932
cSum=645456390 | maxSum=999999932
cSum=644656789 | maxSum=999999932
cSum=643857525 | maxSum=999999932
cSum=643058499 | maxSum=999999932
cSum=642260241 | maxSum=999999932
cSum=641462641 | maxSum=999999932
cSum=640665149 | maxSum=999999932
cSum=639867793 | maxSum=999999932
cSum=639070607 | maxSum=999999932
cSum=638273649 | maxSum=999999932
cSum=637477308 | maxSum=999999932
cSum=636681590 | maxSum=999999932
cSum=635886546 | maxSum=999999932
cSum=635093307 | maxSum=999999932
cSum=634300251 | maxSum=999999932
cSum=633507705 | maxSum=999999932
cSum=632715374 | maxSum=999999932
cSum=631923371 | maxSum=999999932
cSum=631131383 | maxSum=999999932
cSum=630340462 | maxSum=999999932
cSum=629549626 | maxSum=999999932
cSum=628759405 | maxSum=999999932
cSum=627969279 | maxSum=999999932
cSum=627179869 | maxSum=999999932
cSum=626391279 | maxSum=999999932
cSum=625602841 | maxSum=999999932
cSum=624814495 | maxSum=999999932
cSum=624026819 | maxSum=999999932
cSum=623239325 | maxSum=999999932
cSum=622451922 | maxSum=999999932
cSum=621664940 | maxSum=999999932
cSum=620879005 | maxSum=999999932
cSum=620093546 | maxSum=999999932
cSum=619308100 | maxSum=999999932
cSum=618522710 | maxSum=999999932
cSum=617738184 | maxSum=999999932
cSum=616953824 | maxSum=999999932
cSum=616169517 | maxSum=999999932
cSum=615385640 | maxSum=999999932
cSum=614601799 | maxSum=999999932
cSum=613818448 | maxSum=999999932
cSum=613035356 | maxSum=999999932
cSum=612252481 | maxSum=999999932
cSum=611469886 | maxSum=999999932
cSum=610687666 | maxSum=999999932
cSum=609905729 | maxSum=999999932
cSum=609124309 | maxSum=999999932
cSum=608343081 | maxSum=999999932
cSum=607562151 | maxSum=999999932
cSum=606781259 | maxSum=999999932
cSum=606001429 | maxSum=999999932
cSum=605222140 | maxSum=999999932
cSum=604443122 | maxSum=999999932
cSum=603664591 | maxSum=999999932
cSum=602886215 | maxSum=999999932
cSum=602108173 | maxSum=999999932
cSum=601330375 | maxSum=999999932
cSum=600552752 | maxSum=999999932
cSum=599775465 | maxSum=999999932
cSum=598998768 | maxSum=999999932
cSum=598222678 | maxSum=999999932
cSum=597448144 | maxSum=999999932
cSum=596675253 | maxSum=999999932
cSum=595902859 | maxSum=999999932
cSum=595130562 | maxSum=999999932
cSum=594358800 | maxSum=999999932
cSum=593587273 | maxSum=999999932
cSum=592816459 | maxSum=999999932
cSum=592046089 | maxSum=999999932
cSum=591275824 | maxSum=999999932
cSum=590506333 | maxSum=999999932
cSum=589738348 | maxSum=999999932
cSum=588970837 | maxSum=999999932
cSum=588204250 | maxSum=999999932
cSum=587438209 | maxSum=999999932
cSum=586672770 | maxSum=999999932
cSum=585907540 | maxSum=999999932
cSum=585142945 | maxSum=999999932
cSum=584378403 | maxSum=999999932
cSum=583614418 | maxSum=999999932
cSum=582850780 | maxSum=999999932
cSum=582088835 | maxSum=999999932
cSum=581327465 | maxSum=999999932
cSum=580567632 | maxSum=999999932
cSum=579808185 | maxSum=999999932
cSum=579048775 | maxSum=999999932
cSum=578290234 | maxSum=999999932
cSum=577532646 | maxSum=999999932
cSum=576775427 | maxSum=999999932
cSum=576019055 | maxSum=999999932
cSum=575263056 | maxSum=999999932
cSum=574507274 | maxSum=999999932
cSum=573752170 | maxSum=999999932
cSum=572997402 | maxSum=999999932
cSum=572242712 | maxSum=999999932
cSum=571488284 | maxSum=999999932
cSum=570734020 | maxSum=999999932
cSum=569980340 | maxSum=999999932
cSum=569226984 | maxSum=999999932
cSum=568473681 | maxSum=999999932
cSum=567720390 | maxSum=999999932
cSum=566967552 | maxSum=999999932
cSum=566215031 | maxSum=999999932
cSum=565463567 | maxSum=999999932
cSum=564712535 | maxSum=999999932
cSum=563961684 | maxSum=999999932
cSum=563211886 | maxSum=999999932
cSum=562463629 | maxSum=999999932
cSum=561715997 | maxSum=999999932
cSum=560969526 | maxSum=999999932
cSum=560225214 | maxSum=999999932
cSum=559481948 | maxSum=999999932
cSum=558739486 | maxSum=999999932
cSum=557997210 | maxSum=999999932
cSum=557255493 | maxSum=999999932
cSum=556514146 | maxSum=999999932
cSum=555773361 | maxSum=999999932
cSum=555033365 | maxSum=999999932
cSum=554293637 | maxSum=999999932
cSum=553554101 | maxSum=999999932
cSum=552815253 | maxSum=999999932
cSum=552077119 | maxSum=999999932
cSum=551339353 | maxSum=999999932
cSum=550602167 | maxSum=999999932
cSum=549865120 | maxSum=999999932
cSum=549129158 | maxSum=999999932
cSum=548393715 | maxSum=999999932
cSum=547658321 | maxSum=999999932
cSum=546923026 | maxSum=999999932
cSum=546187843 | maxSum=999999932
cSum=545454069 | maxSum=999999932
cSum=544720576 | maxSum=999999932
cSum=543987278 | maxSum=999999932
cSum=543255059 | maxSum=999999932
cSum=542522956 | maxSum=999999932
cSum=541791525 | maxSum=999999932
cSum=541060179 | maxSum=999999932
cSum=540329052 | maxSum=999999932
cSum=539597942 | maxSum=999999932
cSum=538867462 | maxSum=999999932
cSum=538137095 | maxSum=999999932
cSum=537406864 | maxSum=999999932
cSum=536677097 | maxSum=999999932
cSum=535947738 | maxSum=999999932
cSum=535219975 | maxSum=999999932
cSum=534492265 | maxSum=999999932
cSum=533764845 | maxSum=999999932
cSum=533038441 | maxSum=999999932
cSum=532312999 | maxSum=999999932
cSum=531588362 | maxSum=999999932
cSum=530864150 | maxSum=999999932
cSum=530139943 | maxSum=999999932
cSum=529416046 | maxSum=999999932
cSum=528692184 | maxSum=999999932
cSum=527968445 | maxSum=999999932
cSum=527245016 | maxSum=999999932
cSum=526522107 | maxSum=999999932
cSum=525799925 | maxSum=999999932
cSum=525078284 | maxSum=999999932
cSum=524357209 | maxSum=999999932
cSum=523636266 | maxSum=999999932
cSum=522915440 | maxSum=999999932
cSum=522195168 | maxSum=999999932
cSum=521475321 | maxSum=999999932
cSum=520756158 | maxSum=999999932
cSum=520037120 | maxSum=999999932
cSum=519319199 | maxSum=999999932
cSum=518601504 | maxSum=999999932
cSum=517883956 | maxSum=999999932
cSum=517167154 | maxSum=999999932
cSum=516450785 | maxSum=999999932
cSum=515735536 | maxSum=999999932
cSum=515020566 | maxSum=999999932
cSum=514305690 | maxSum=999999932
cSum=513591711 | maxSum=999999932
cSum=512878124 | maxSum=999999932
cSum=512164745 | maxSum=999999932
cSum=511452168 | maxSum=999999932
cSum=510739986 | maxSum=999999932
cSum=510029248 | maxSum=999999932
cSum=509318671 | maxSum=999999932
cSum=508608370 | maxSum=999999932
cSum=507898100 | maxSum=999999932
cSum=507188479 | maxSum=999999932
cSum=506479252 | maxSum=999999932
cSum=505770755 | maxSum=999999932
cSum=505062693 | maxSum=999999932
cSum=504355025 | maxSum=999999932
cSum=503647808 | maxSum=999999932
cSum=502940642 | maxSum=999999932
cSum=502233538 | maxSum=999999932
cSum=501527414 | maxSum=999999932
cSum=500821852 | maxSum=999999932
cSum=500116324 | maxSum=999999932
cSum=499411273 | maxSum=999999932
cSum=498706284 | maxSum=999999932
cSum=498001915 | maxSum=999999932
cSum=497297550 | maxSum=999999932
cSum=496594295 | maxSum=999999932
cSum=495891189 | maxSum=999999932
cSum=495188409 | maxSum=999999932
cSum=494485673 | maxSum=999999932
cSum=493783174 | maxSum=999999932
cSum=493080865 | maxSum=999999932
cSum=492378836 | maxSum=999999932
cSum=491677311 | maxSum=999999932
cSum=490975896 | maxSum=999999932
cSum=490275199 | maxSum=999999932
cSum=489574843 | maxSum=999999932
cSum=488874787 | maxSum=999999932
cSum=488175406 | maxSum=999999932
cSum=487476068 | maxSum=999999932
cSum=486776784 | maxSum=999999932
cSum=486079504 | maxSum=999999932
cSum=485382950 | maxSum=999999932
cSum=484686687 | maxSum=999999932
cSum=483990535 | maxSum=999999932
cSum=483294556 | maxSum=999999932
cSum=482598892 | maxSum=999999932
cSum=481903229 | maxSum=999999932
cSum=481207973 | maxSum=999999932
cSum=480512959 | maxSum=999999932
cSum=479818139 | maxSum=999999932
cSum=479124066 | maxSum=999999932
cSum=478430360 | maxSum=999999932
cSum=477736925 | maxSum=999999932
cSum=477043574 | maxSum=999999932
cSum=476350354 | maxSum=999999932
cSum=475657794 | maxSum=999999932
cSum=474965649 | maxSum=999999932
cSum=474273600 | maxSum=999999932
cSum=473581751 | maxSum=999999932
cSum=472890499 | maxSum=999999932
cSum=472199455 | maxSum=999999932
cSum=471508549 | maxSum=999999932
cSum=470818295 | maxSum=999999932
cSum=470128638 | maxSum=999999932
cSum=469439282 | maxSum=999999932
cSum=468751305 | maxSum=999999932
cSum=468063977 | maxSum=999999932
cSum=467377191 | maxSum=999999932
cSum=466690553 | maxSum=999999932
cSum=466003994 | maxSum=999999932
cSum=465318200 | maxSum=999999932
cSum=464632952 | maxSum=999999932
cSum=463949078 | maxSum=999999932
cSum=463265336 | maxSum=999999932
cSum=462581871 | maxSum=999999932
cSum=461898663 | maxSum=999999932
cSum=461216558 | maxSum=999999932
cSum=460534782 | maxSum=999999932
cSum=459853278 | maxSum=999999932
cSum=459171781 | maxSum=999999932
cSum=458490327 | maxSum=999999932
cSum=457809500 | maxSum=999999932
cSum=457129935 | maxSum=999999932
cSum=456450712 | maxSum=999999932
cSum=455771549 | maxSum=999999932
cSum=455092404 | maxSum=999999932
cSum=454413355 | maxSum=999999932
cSum=453735567 | maxSum=999999932
cSum=453057948 | maxSum=999999932
cSum=452380619 | maxSum=999999932
cSum=451703712 | maxSum=999999932
cSum=451027512 | maxSum=999999932
cSum=450353382 | maxSum=999999932
cSum=449679360 | maxSum=999999932
cSum=449006434 | maxSum=999999932
cSum=448333741 | maxSum=999999932
cSum=447661593 | maxSum=999999932
cSum=446990454 | maxSum=999999932
cSum=446319847 | maxSum=999999932
cSum=445649309 | maxSum=999999932
cSum=444979271 | maxSum=999999932
cSum=444309245 | maxSum=999999932
cSum=443639627 | maxSum=999999932
cSum=442970685 | maxSum=999999932
cSum=442301780 | maxSum=999999932
cSum=441633093 | maxSum=999999932
cSum=440964981 | maxSum=999999932
cSum=440297388 | maxSum=999999932
cSum=439630774 | maxSum=999999932
cSum=438964264 | maxSum=999999932
cSum=438297944 | maxSum=999999932
cSum=437632071 | maxSum=999999932
cSum=436966400 | maxSum=999999932
cSum=436301254 | maxSum=999999932
cSum=435636157 | maxSum=999999932
cSum=434971574 | maxSum=999999932
cSum=434307837 | maxSum=999999932
cSum=433645966 | maxSum=999999932
cSum=432984156 | maxSum=999999932
cSum=432323479 | maxSum=999999932
cSum=431663072 | maxSum=999999932
cSum=431003000 | maxSum=999999932
cSum=430343773 | maxSum=999999932
cSum=429684957 | maxSum=999999932
cSum=429026969 | maxSum=999999932
cSum=428368994 | maxSum=999999932
cSum=427711232 | maxSum=999999932
cSum=427053935 | maxSum=999999932
cSum=426396691 | maxSum=999999932
cSum=425740740 | maxSum=999999932
cSum=425084901 | maxSum=999999932
cSum=424429176 | maxSum=999999932
cSum=423773705 | maxSum=999999932
cSum=423120120 | maxSum=999999932
cSum=422466644 | maxSum=999999932
cSum=421813715 | maxSum=999999932
cSum=421161181 | maxSum=999999932
cSum=420509613 | maxSum=999999932
cSum=419858230 | maxSum=999999932
cSum=419206985 | maxSum=999999932
cSum=418555883 | maxSum=999999932
cSum=417905022 | maxSum=999999932
cSum=417255158 | maxSum=999999932
cSum=416605466 | maxSum=999999932
cSum=415955947 | maxSum=999999932
cSum=415306554 | maxSum=999999932
cSum=414657939 | maxSum=999999932
cSum=414009430 | maxSum=999999932
cSum=413361926 | maxSum=999999932
cSum=412716045 | maxSum=999999932
cSum=412070436 | maxSum=999999932
cSum=411424971 | maxSum=999999932
cSum=410782508 | maxSum=999999932
cSum=410141067 | maxSum=999999932
cSum=409500049 | maxSum=999999932
cSum=408860019 | maxSum=999999932
cSum=408220251 | maxSum=999999932
cSum=407580956 | maxSum=999999932
cSum=406941807 | maxSum=999999932
cSum=406303036 | maxSum=999999932
cSum=405664434 | maxSum=999999932
cSum=405025935 | maxSum=999999932
cSum=404389139 | maxSum=999999932
cSum=403752535 | maxSum=999999932
cSum=403116354 | maxSum=999999932
cSum=402480244 | maxSum=999999932
cSum=401844330 | maxSum=999999932
cSum=401208509 | maxSum=999999932
cSum=400572802 | maxSum=999999932
cSum=399937427 | maxSum=999999932
cSum=399303166 | maxSum=999999932
cSum=398670063 | maxSum=999999932
cSum=398036973 | maxSum=999999932
cSum=397404366 | maxSum=999999932
cSum=396773053 | maxSum=999999932
cSum=396143425 | maxSum=999999932
cSum=395514882 | maxSum=999999932
cSum=394886793 | maxSum=999999932
cSum=394259656 | maxSum=999999932
cSum=393633453 | maxSum=999999932
cSum=393007622 | maxSum=999999932
cSum=392382021 | maxSum=999999932
cSum=391756590 | maxSum=999999932
cSum=391131426 | maxSum=999999932
cSum=390506291 | maxSum=999999932
cSum=389881308 | maxSum=999999932
cSum=389256423 | maxSum=999999932
cSum=388631995 | maxSum=999999932
cSum=388007996 | maxSum=999999932
cSum=387384006 | maxSum=999999932
cSum=386760557 | maxSum=999999932
cSum=386137850 | maxSum=999999932
cSum=385515296 | maxSum=999999932
cSum=384893991 | maxSum=999999932
cSum=384273081 | maxSum=999999932
cSum=383652386 | maxSum=999999932
cSum=383033159 | maxSum=999999932
cSum=382414259 | maxSum=999999932
cSum=381795769 | maxSum=999999932
cSum=381177492 | maxSum=999999932
